UGC12894           00 00 22.5 +39 29 44  2.78 33  21 0.00 -13.3 25.2  7.58  8.17   7.92  619 -1.5 NGC7640         -1.2
WLM                00 01 58.1 -15 27 40  3.21 90  22 0.00 -14.1 24.8  7.69  8.27   7.83  -16  0.0 MESSIER031       0.2  1.74
And XVIII          00 02 14.5 +45 05 20  0.63 10     0.00  -9.1 26.2  6.60               -44  0.4 MESSIER031       0.5  1.52
ESO409-015         00 05 31.8 -28 05 53  2.65 78  23 0.00 -14.4 24.1  7.99  8.20   7.99  769 -1.7 NGC0253         -1.2
AGC748778          00 06 34.4 +15 30 39  0.53 70   3 0.00 -10.0 24.9  6.27  5.64   6.51  486 -1.6 NGC0253         -1.3
And XX             00 07 30.7 +35 07 56  0.20 58     0.00  -5.8 27.0  5.26              -182  2.4 MESSIER031       2.4  1.74
UGC00064           00 07 44.0 +40 52 32  4.87 66  28 0.00 -14.8 25.0  8.15  8.65   8.58  587 -1.7 DDO217          -1.3 -1.15
ESO349-031         00 08 13.3 -34 34 42  1.15 39  14 0.00 -11.9 24.8  7.12  7.41   7.13  230  0.0 NGC0253          0.1  0.51
NGC0024            00 09 56.4 -24 57 48 19.98 85  95 0.64 -18.3 24.5  9.75 10.32   8.91  606 -1.0 NGC0045         -0.8  0.42
NGC0045            00 14 03.9 -23 10 56 22.88 47 103 0.17 -18.5 24.6  9.61 10.45   9.47  528 -0.9 NGC0024         -0.8  0.51
NGC0055            00 15 08.5 -39 13 13 21.71 84  74 0.55 -18.4 24.6  9.49 10.15   9.45  111  0.1 NGC0300          0.1  0.26
NGC0059            00 15 25.1 -21 26 38  3.52 90  21 0.00 -15.7 23.3  8.72  8.25   7.40  431 -0.5 NGC0253         -0.4 -1.55
ESO410-005         00 15 31.4 -32 10 48  0.91 45   4 0.00 -11.6 24.5  6.88  6.13   5.91   53  0.0 NGC0055          0.2  0.51
And XIX            00 19 32.1 +35 02 37  1.81 41     0.00  -8.3 29.3  6.28               157  1.9 MESSIER031       1.9  1.74
IC0010             00 20 24.5 +59 17 30  2.85 33  49 0.02 -16.0 22.6  8.47  8.90   8.00  -62  1.6 MESSIER031       1.6  1.74
And XXVI           00 23 45.6 +47 54 58  0.40 52     0.00  -6.5 27.9  5.54                21  2.8 MESSIER031       2.9  1.74
Sc22               00 23 51.7 -24 42 18  1.15 48     0.00 -10.5 26.2  7.14       < 4.98       1.1 NGC0253          1.1  1.82
Cetus              00 26 11.0 -11 02 40  1.10 55     0.00 -10.2 26.3  7.02       < 4.18   26  0.3 MESSIER031       0.5  1.74
