x_min x_max x_center mean median std n_orig n_match n_found
0.001 0.001584893192461114 0.0012924465962305572 nan 0.0 nan 0 0 0
0.001584893192461114 0.0025118864315095794 0.002048389811985347 nan 0.0 nan 0 0 0
0.0025118864315095794 0.003981071705534973 0.0032464790685222764 nan 0.0 nan 0 0 0
0.003981071705534973 0.00630957344480193 0.005145322575168452 nan 0.0 nan 0 0 0
0.00630957344480193 0.01 0.008154786722400966 nan 0.0 nan 0 0 0
0.01 0.01584893192461114 0.012924465962305572 nan 0.0 nan 0 0 0
0.01584893192461114 0.025118864315095808 0.020483898119853475 nan 0.0 nan 0 0 0
0.025118864315095808 0.039810717055349734 0.032464790685222775 4.310549464676194 4.310549464676194 0.0 1 0 0
0.039810717055349734 0.06309573444801933 0.05145322575168453 75.57732873622504 75.57732873622504 72.33478919820888 2 0 0
0.06309573444801933 0.1 0.08154786722400967 1.0430615290533993 1.0041661609557344 0.05941419953203743 3 1 1
0.1 0.15848931924611143 0.1292446596230557 1.0038592164987512 1.0015889696789726 0.042372505296992456 116 118 118
0.15848931924611143 0.25118864315095824 0.20483898119853483 1.0054851774749334 1.007090974507578 0.02334413331780468 131 136 136
0.25118864315095824 0.3981071705534973 0.3246479068522278 0.9983948267941689 0.9980702038827014 0.010963114773034093 126 126 126
0.3981071705534973 0.6309573444801936 0.5145322575168454 1.0001169288546046 1.0003864090925632 0.0034817576071953073 75 72 72
0.6309573444801936 1.0 0.8154786722400968 1.0001220905471555 1.0003213178413202 0.0012490578287000576 61 61 61
1.0 1.584893192461114 1.292446596230557 0.9999111096767614 0.999829908703398 0.00035613878000102496 26 26 26
1.584893192461114 2.5118864315095824 2.048389811985348 0.9999361767844135 0.9999368447739032 0.0004170614817673819 15 15 15
2.5118864315095824 3.981071705534973 3.2464790685222775 0.9994335572354236 0.9994950046914163 0.0009199259784723246 9 9 9
3.981071705534973 6.309573444801936 5.145322575168454 0.9999902768633046 1.000028556148652 0.00015117953283277948 3 3 3
6.309573444801936 10.0 8.154786722400967 0.9999792737825697 0.9999792737825697 2.4946837511752307e-05 2 3 3
10.0 15.848931924611142 12.924465962305572 1.0000711837734968 1.0000827911429584 2.739889287717741e-05 3 3 3
15.848931924611142 25.11886431509582 20.48389811985348 0.9999657092051373 0.9999657092051373 4.654684956667543e-05 2 2 2
25.11886431509582 39.81071705534978 32.464790685222795 nan 0.0 nan 0 0 0
39.81071705534978 63.09573444801943 51.4532257516846 nan 0.0 nan 0 0 0
63.09573444801943 100.0 81.5478672240097 1.0001820219816562 1.0001820219816562 0.0 1 1 1
