|              Name | RAh | RAm |  RAs | DE- | DEd | DEm | DEs | TT |  SFRa |  KLum |                 DM |                Dist | n_clust |      reference |
|         Mamajek 3 |   5 |  26 |  1.0 |   + |   6 |  19 |   8 | 99 | -99.0 | -99.0 |   4.88861802644424 |               0.095 |       1 |   heasarc_mwsc |
|         Mamajek 1 |   8 |  41 | 53.0 |   - |  79 |   2 |   7 | 99 | -99.0 | -99.0 |  5.246090113350908 |               0.112 |       1 |   heasarc_mwsc |
|       Feigelson 1 |  12 |   1 | 12.0 |   - |  78 |  20 |   1 | 99 | -99.0 | -99.0 |  5.340929308730809 |               0.117 |       1 |   heasarc_mwsc |
|         Platais 8 |   9 |   7 | 30.0 |   - |  59 |   9 |   6 | 99 | -99.0 | -99.0 |  5.746095563276899 | 0.14100000000000001 |       1 |   heasarc_mwsc |
|         NGC 2451A |   7 |  41 | 20.0 |   - |  38 |  31 |   2 | 99 | -99.0 | -99.0 |  6.370789246318401 |               0.188 |       1 |   heasarc_mwsc |
|          Blanco 1 |   0 |   3 | 32.0 |   - |  30 |   0 |   0 | 99 | -99.0 | -99.0 | 6.9897000433601875 |                0.25 |       1 |   heasarc_mwsc |
|         Platais 5 |   6 |  14 | 42.0 |   - |  22 |  30 |   0 | 99 | -99.0 | -99.0 |  7.172844520170994 |               0.272 |       1 |   heasarc_mwsc |
|           ASCC 18 |   5 |  26 | 15.0 |   + |   0 |  54 |   0 | 99 | -99.0 | -99.0 |  7.477721687732242 |               0.313 |       1 |   heasarc_mwsc |
|           ASCC 19 |   5 |  27 | 41.0 |   - |   1 |  57 |   9 | 99 | -99.0 | -99.0 |  7.484648240366074 |               0.314 |       1 |   heasarc_mwsc |
|          Morgan 8 |   5 |  36 | 27.0 |   - |   6 |  25 |   2 | 99 | -99.0 | -99.0 |  7.484648240366074 |               0.314 |       1 |   heasarc_mwsc |
|          NGC 1333 |   3 |  28 | 55.0 |   + |  31 |  22 |   2 | 99 | -99.0 | -99.0 |  7.552725051033061 |               0.324 |       1 |   heasarc_mwsc |
|          NGC 2232 |   6 |  27 | 58.0 |   - |   4 |  47 |   7 | 99 | -99.0 | -99.0 |  7.592569699389438 |                0.33 |       1 |   heasarc_mwsc |
|     Collinder 132 |   7 |  13 | 26.0 |   - |  30 |  58 |   5 | 99 | -99.0 | -99.0 |  7.592569699389438 |                0.33 |       1 |   heasarc_mwsc |
|         Platais 6 |   6 |  15 |  4.0 |   + |   3 |  51 |   0 | 99 | -99.0 | -99.0 |  7.701647373954367 | 0.34700000000000003 |       1 |   heasarc_mwsc |
|          ASCC 100 |  19 |   1 | 37.0 |   + |  33 |  34 |   5 | 99 | -99.0 | -99.0 |  7.720340221751378 | 0.35000000000000003 |       1 |   heasarc_mwsc |
|           IC 4665 |  17 |  46 | 16.0 |   + |   5 |  41 |   7 | 99 | -99.0 | -99.0 |  7.732713317390656 |               0.352 |       1 |   heasarc_mwsc |
|          NGC 1977 |   5 |  35 | 33.0 |   - |   4 |  49 |   8 | 99 | -99.0 | -99.0 |  7.769415133219372 |               0.358 |       1 |   heasarc_mwsc |
|     Collinder 135 |   7 |  17 | 56.0 |   - |  37 |   2 |   1 | 99 | -99.0 | -99.0 |  7.787536009528289 |               0.361 |       1 |   heasarc_mwsc |
|          NGC 2547 |   8 |   9 | 55.0 |   - |  49 |  12 |   3 | 99 | -99.0 | -99.0 |  7.787536009528289 |               0.361 |       1 |   heasarc_mwsc |
|           ASCC 21 |   5 |  29 |  2.0 |   + |   3 |  33 |   6 | 99 | -99.0 | -99.0 |  7.893196049840361 |               0.379 |       1 |   heasarc_mwsc |
|      Collinder 70 |   5 |  35 | 47.0 |   - |   0 |  52 |   8 | 99 | -99.0 | -99.0 |  7.893196049840361 |               0.379 |       1 |   heasarc_mwsc |
|       Chamaleon I |  11 |   3 | 36.0 |   - |  77 |  20 |   4 | 99 | -99.0 | -99.0 |  7.898917983084051 |                0.38 |       1 |   heasarc_mwsc |
|           ASCC 24 |   6 |  28 | 44.0 |   - |   6 |  58 |   8 | 99 | -99.0 | -99.0 | 7.9046248783780975 |               0.381 |       1 |   heasarc_mwsc |
|          Alessi 5 |  10 |  43 | 19.0 |   - |  61 |  10 |   2 | 99 | -99.0 | -99.0 |  7.921656121837655 |               0.384 |       1 |   heasarc_mwsc |
|     Collinder 140 |   7 |  24 |  7.0 |   - |  31 |  53 |   4 | 99 | -99.0 | -99.0 | 7.9329365233587765 |               0.386 |       1 |   heasarc_mwsc |
|          NGC 1981 |   5 |  35 |  6.0 |   - |   4 |  25 |   2 | 99 | -99.0 | -99.0 |  7.944158627971037 |               0.388 |       1 |   heasarc_mwsc |
|         Sigma Ori |   5 |  38 | 44.0 |   - |   2 |  36 |   0 | 99 | -99.0 | -99.0 |  7.955323035132496 |                0.39 |       1 |   heasarc_mwsc |
|           ASCC 20 |   5 |  28 | 45.0 |   + |   1 |  38 |   4 | 99 | -99.0 | -99.0 |   7.97748110912787 |               0.394 |       1 |   heasarc_mwsc |
|           ASCC 16 |   5 |  24 |  9.0 |   + |   1 |  38 |   4 | 99 | -99.0 | -99.0 |  7.993952533815577 |               0.397 |       1 |   heasarc_mwsc |
|      Collinder 69 |   5 |  35 | 20.0 |   + |   9 |  49 |   8 | 99 | -99.0 | -99.0 |  8.069209109380346 | 0.41100000000000003 |       1 |   heasarc_mwsc |
|  vdBergh-Hagen 23 |   8 |  13 | 59.0 |   - |  36 |  20 |   0 | 99 | -99.0 | -99.0 |  8.085001705604496 | 0.41400000000000003 |       1 |   heasarc_mwsc |
|       Trumpler 10 |   8 |  47 | 29.0 |   - |  42 |  24 |   0 | 99 | -99.0 | -99.0 |  8.100680274868788 |               0.417 |       1 |   heasarc_mwsc |
|          NGC 1976 |   5 |  35 | 19.0 |   - |   5 |  21 |   6 | 99 | -99.0 | -99.0 |  8.304327390019346 |               0.458 |       1 |   heasarc_mwsc |
|            IC 348 |   3 |  44 | 37.0 |   + |  32 |   9 |   0 | 99 | -99.0 | -99.0 |  8.406206186877936 |                0.48 |       1 |   heasarc_mwsc |
