SR1001  2.510 0.775 -2.301 0.150 4.184 0.144
SR1009  1.580 0.260  0.477 0.088 5.154 0.175
SR1012  1.120 0.259 -1.602 0.122 4.148 0.129
SR1013  0.006 0.002  0.301 1.049 2.688 0.112
SR1020  1.580 0.185 -0.824 0.150 4.025 0.100
SR1021  0.022 0.008 -1.602 0.122 3.032 0.081
SR1022  3.160 1.810 -2.301 0.238 4.683 0.244
SR1024  3.980 1.400 -2.301 0.150 4.565 0.004
SR1028  2.000 0.465 -0.699 0.301 3.914 0.059
SR1029  1.000 0.233 -1.456 0.412 3.666 0.093
SR1030  0.022 0.002 -1.602 0.122 3.230 0.186
SR1031 10.000 2.760 -1.155 0.316 5.516 0.010
SR1041  0.631 0.146  0.301 0.238 3.896 0.084
SR1049 12.600 1.845 -2.301 0.150 4.837 0.032
SR1052  0.020 0.002 -1.602 0.122 2.674 0.124
SR1059  3.980 1.555 -1.699 0.199 5.257 0.131
SR1066  0.355 0.169 -0.699 0.850 4.051 0.043
SR1074 11.200 3.145 -2.301 0.238 4.920 0.001
SR1080  2.820 1.250 -1.301 0.301 4.508 0.016
SR1083 12.600 0.700  0.477 0.040 6.177 0.113
SR1087  1.260 0.145 -1.602 0.122 4.108 0.006
SR1088  3.550 0.410 -0.071 0.051 4.874 0.179
SR1090  6.310 1.305  0.477 0.040 5.205 0.059
SR1102  0.794 0.146  0.477 0.040 4.326 0.118
SR1103  0.126 0.086 -1.155 0.850 4.149 0.033
SR1111  0.040 0.013 -1.602 0.122 3.765 0.090
SR1112  0.025 0.005 -0.699 0.111 3.635 0.017
SR1114  1.410 0.260 -2.000 0.350 4.293 0.037
SR1115  3.550 1.385 -2.301 0.150 5.634 0.102
SR1122  0.025 0.004 -0.699 0.111 3.176 0.042
SR1124  0.025 0.004 -0.699 0.111 3.056 0.030
SR1125  7.940 0.915  0.301 0.111 5.130 0.013
SR1126 12.600 2.330 -1.155 0.228 5.002 0.050
SR1129  0.316 0.087  0.176 0.398 3.608 0.088
SR1133  0.016 0.002  0.477 0.040 3.018 0.128
SR1134  0.126 0.072 -1.301 1.088 3.625 0.046
SR1138  1.000 0.233  0.176 0.199 4.984 0.002
SR1139  0.501 0.213 -1.155 0.228 4.544 0.089
SR1143  8.910 3.490 -1.824 0.350 4.784 0.096
SR1144  0.063 0.022 -1.301 0.301 3.286 0.165
SR1146  0.025 0.003 -0.699 0.111 2.925 0.054
SR1147  0.025 0.004 -0.699 0.111 2.583 0.013
SR1148  0.501 0.176 -0.523 0.850 3.761 0.097
SR1149  0.562 0.320 -1.699 0.573 3.965 0.040
SR1150  0.447 0.175 -1.155 0.316 3.594 0.115
SR1152  2.820 0.870 -2.301 0.150 4.375 0.047
SR1154  1.000 0.184  0.301 0.150 4.204 0.144
SR1161 10.000 3.145 -1.824 0.350 5.504 0.010
SR1162  0.025 0.004 -0.699 0.111 2.316 0.074
SR1163  0.025 0.005 -0.699 0.650 3.184 0.050
SR1166  0.562 0.220 -1.602 0.850 3.605 0.079
SR1169  1.410 0.260 -1.699 0.423 4.336 0.635
SR1170  0.316 0.150 -2.301 0.150 4.274 0.123
SR1175  1.260 0.259 -1.602 0.122 4.342 0.029
SR1179 12.600 1.845 -2.301 0.238 5.511 0.025
SR1180  0.040 0.009 -1.602 0.122 3.355 0.110
SR1181  5.010 1.765 -2.301 0.150 5.066 0.189
SR1182  5.620 2.875 -1.602 0.423 4.458 0.503
SR1184  0.025 0.004 -0.699 0.111 3.816 0.119
SR1185  1.000 0.184  0.176 0.199 4.576 0.048
SR1188  8.910 1.030  0.398 0.150 6.104 0.052
