Name     | GLON   | GLAT  | Dist | RV    | e_RV  |n_RV|n_tot| rad_l   | rad_b | P |Nsg
SGR 1  A |   6.16 | -1.32 | 1.52 |   2.3 |   2.8 |  4 |  18 |    23.9 |  10.6 | 1 |  0
SGR 1  B |   7.26 | -2.08 | 1.94 |       |       |  2 |   5 |    13.6 |   6.8 | 0 |  0
SGR 1  C |   7.39 | -0.28 | 1.44 | -11.4 |   4.3 |  7 |  12 |    25.2 |  15.1 | 1 |  0
SGR 7    |  10.36 | -1.38 | 1.28 |  -5.3 |   3.1 |  4 |   5 |    17.8 |  20.1 | 0 |  0
SGR 4    |  12.10 | -0.99 | 1.85 |  -0.6 |   9.5 | 14 |  22 |    54.9 |  45.2 | 1 |  1
SER 1  A |  14.69 | -0.97 | 1.50 |  -7.4 |   4.6 |  4 |  10 |    31.5 |  18.4 | 1 |  0
SER 1  B |  16.93 |  0.76 | 2.05 |  17.5 |  10.8 |  4 |  19 |     7.2 |  10.7 | 1 |  0
SCT 3    |  17.23 | -0.84 | 1.48 |  -3.0 |   9.6 |  4 |  10 |    25.8 |  33.6 | 1 |  0
SER 2    |  18.23 |  1.66 | 1.45 |  -2.4 |   3.9 |  4 |  15 |    22.8 |  33.0 | 1 |  0
VUL 1    |  59.41 | -0.12 | 2.54 |       |       |  1 |  15 |     4.4 |  13.3 | 1 |  0
VUL 4    |  60.66 | -0.17 | 1.21 |       |       |  1 |  11 |    25.3 |  19.0 | 1 |  0
CYG 3  A |  72.68 |  1.80 | 1.82 |  -9.0 |   8.4 | 10 |  25 |    38.1 |  41.3 | 1 |  0
CYG 3  B |  73.53 |  2.04 | 2.31 | -17.0 |   6.5 |  5 |   7 |    32.3 |  28.3 | 1 |  0
CYG 1,8,9|  76.82 |  1.44 | 1.37 |  -6.5 |  10.1 | 40 | 119 |   153.2 |  83.9 | 1 |  3
LAC 1    |  96.80 |-16.08 | 0.63 | -11.2 |   3.7 |  5 |   5 |    14.4 |  22.1 | 0 |  0
CEP 2  A |  99.25 |  3.77 | 0.96 | -10.4 |   5.9 |  9 |  15 |    20.1 |  50.2 | 1 |  0
CEP 2  B | 103.61 |  5.64 | 0.77 | -16.7 |   6.2 | 15 |  17 |    35.1 |  62.0 | 1 |  1
CEP 1*   | 108.47 | -2.70 | 2.21 |       |       |  1 |   6 |    11.6 |  30.9 | 1 |  0
CEP 3    | 110.37 |  2.85 | 0.84 | -23.1 |   8.4 | 23 |  33 |    36.6 |  20.5 | 1 |  0
CAS 5    | 115.49 |  0.25 | 2.28 | -45.2 |   0.2 |  3 |  12 |    43.9 |  19.9 | 1 |  2
CAS 4    | 119.47 | -0.42 | 1.56 |       |       |  2 |   6 |    21.8 |  21.8 | 0 |  0
CAS 8    | 129.37 | -0.88 | 1.77 | -35.7 |  17.0 |  4 |  18 |    46.2 |  27.7 | 1 |  0
CLUST  1 | 130.60 |  2.92 | 0.89 | -18.5 |   1.5 |  4 |   5 |    18.6 |  12.4 | 0 |  0
PER 1  A | 131.10 | -1.53 | 1.61 |       |       |  2 |  11 |    39.4 |  25.3 | 1 |  2
PER 1  B | 133.20 | -1.62 | 1.60 |       |       |  2 |   6 |    25.2 |  19.6 | 0 |  0
PER 1  C | 133.70 | -3.32 | 1.91 | -49.6 |   2.1 |  4 |   5 |    16.7 |  16.7 | 0 |  0
PER 1  D | 135.04 | -3.46 | 1.93 | -41.4 |   7.1 | 41 |  99 |   101.1 |  80.9 | 1 | 13
CAS 6    | 134.66 |  0.93 | 2.01 | -20.4 |  13.3 |  4 |  20 |    38.7 |  28.1 | 1 |  0
CAM 1    | 140.44 |  1.94 | 0.98 | -13.7 |   7.3 | 13 |  16 |    44.7 |  30.9 | 1 |  0
AUR 2    | 173.25 | -0.18 | 2.68 |       |       |  1 |  11 |    23.4 |  28.0 | 1 |  0
AUR 1    | 174.63 |  1.22 | 1.36 |       |       |  0 |   6 |     9.5 |   2.4 | 0 |  0
GEM 1    | 188.86 |  3.44 | 1.34 |  12.2 |   5.6 |  6 |  16 |    51.4 |  39.7 | 1 |  0
ORI 1  A | 195.44 |-12.08 | 0.52 |  34.7 |   2.9 |  5 |   5 |     9.9 |   2.7 | 0 |  0
ORI 1  B | 204.09 |-17.52 | 0.50 |  22.4 |   6.6 | 26 |  27 |    78.6 |  36.8 | 1 |  0
ORI 1  C | 209.17 |-19.41 | 0.66 |  29.0 |   7.9 | 28 |  29 |    38.2 |  32.4 | 1 |  0
NGC 2264 | 203.12 |  2.12 | 1.12 |  25.3 |   3.8 |  4 |   5 |    13.6 |   5.8 | 0 |  0
MON 2  A | 206.42 | -2.06 | 1.63 |  16.8 |  17.0 |  8 |  14 |    19.9 |  28.4 | 1 |  0
MON 1  B | 207.06 | -0.90 | 1.48 |  25.3 |   6.3 |  4 |   5 |    23.3 |   7.8 | 0 |  0
CMA 1  A | 224.18 | -2.22 | 0.75 |  21.4 |   6.4 |  4 |   6 |    13.0 |  15.6 | 0 |  0
CMA 1  B | 225.79 | -1.87 | 1.30 |  23.8 |   7.3 |  6 |  11 |    27.2 |  31.7 | 1 |  0
NGC 2384 | 235.50 | -2.48 | 2.48 |       |       |  2 |   5 |     8.6 |   8.6 | 0 |  0
NGC 2362 | 238.12 | -5.48 | 1.43 |       |       |  2 |  10 |    17.5 |  17.5 | 1 |  0
COLL 121 | 237.89 | -7.67 | 0.54 |  21.9 |  11.3 |  9 |  10 |    35.5 |  24.3 | 1 |  1
VELA 2   | 262.22 | -7.82 | 0.49 |  17.5 |   4.5 | 10 |  10 |    39.5 |  31.8 | 1 |  0
VELA 1 A | 264.66 | -2.64 | 1.43 |       |       |  2 |  12 |    22.4 |  37.4 | 1 |  0
VELA 1 B | 265.85 | -1.09 | 1.41 |       |       |  1 |   8 |    22.2 |  27.1 | 1 |  0
VELA 1 C | 266.82 | -3.52 | 0.70 |       |       |  1 |   5 |     8.5 |  24.3 | 0 |  0
CAR 1  A | 284.51 | -0.04 | 2.40 |  -0.7 |   3.2 |  4 |  21 |    29.3 |  37.7 | 1 |  2
CAR 1  B | 285.98 |  0.40 | 2.14 |  -2.7 |   6.6 |  5 |  24 |    44.8 |  74.6 | 1 |  4
CAR 1  C | 286.30 | -0.16 | 2.59 |       |       |  1 |   8 |    22.6 |  31.7 | 1 |  1
CAR 1  D | 286.64 | -1.82 | 2.34 |       |       |  0 |   5 |    16.3 |  16.3 | 0 |  0
CAR 1  E | 287.61 | -0.68 | 2.64 | -11.0 |   9.2 | 15 |  77 |    83.0 |  60.0 | 1 |  3
CAR 1  F | 288.08 |  0.62 | 2.76 |       |       |  1 |   6 |    24.1 |  28.9 | 1 |  0
CAR 1-2  | 289.36 | -0.34 | 2.62 |       |       |  0 |   8 |    36.6 |  13.7 | 1 |  1
CAR 2    | 290.59 | -0.13 | 2.16 | -16.1 |   7.9 | 10 |  74 |    94.1 |  97.9 | 1 |  4
NGC 3576 | 291.97 | -0.25 | 2.58 |       |       |  2 |   6 |    22.5 |  13.5 | 1 |  0
NGC 3766 | 294.11 | -0.00 | 2.08 |       |       |  1 |  21 |     7.3 |   7.3 | 1 |  4
CRU 1  A | 294.12 | -1.97 | 2.58 |  -1.6 |  10.2 |  3 |  12 |    40.4 |  58.4 | 1 |  0
CRU 1  B | 294.86 | -1.62 | 2.89 |  -1.8 |   7.4 |  9 |  34 |    30.3 |  30.3 | 1 |  0
CRU 1  C | 295.08 | -0.69 | 2.18 | -10.4 |   4.6 |  4 |   8 |    26.6 |   7.6 | 1 |  1
CRU 1  D | 295.62 | -0.30 | 3.05 |       |       |  0 |   5 |    10.7 |  16.0 | 0 |  0
CRU 1  E | 297.30 | -0.68 | 2.58 |       |       |  2 |   6 |    31.5 |  31.5 | 1 |  0
CLUST  2 | 298.46 | -1.44 | 1.92 |       |       |  0 |   5 |     6.7 |  10.0 | 0 |  0
CEN 1  A | 303.17 |  2.43 | 2.20 | -17.8 |   4.4 |  5 |  39 |    19.2 |  53.7 | 1 |  2
CEN 1  B | 303.98 |  1.94 | 1.76 |       |       |  0 |   5 |    18.4 |   9.2 | 0 |  0
CEN 1  C | 304.48 | -1.10 | 2.08 |       |       |  0 |   5 |     7.3 |  25.4 | 0 |  0
CEN 1  D | 305.53 |  1.63 | 1.87 |       |       |  1 |   7 |    32.6 |  16.3 | 1 |  0
CEN 1  E | 306.01 |  0.21 | 1.82 |       |       |  1 |   8 |     9.5 |   3.2 | 1 |  0
SCO 2  A | 300.73 |  1.05 | 0.16 |  13.2 |  12.3 |  5 |   6 |    15.5 |  29.5 | 0 |  0
SCO 2  B | 316.51 | 16.71 | 0.18 |   9.7 |   4.3 |  8 |   8 |    23.0 |  26.1 | 1 |  0
SCO 2  C | 329.42 | 12.94 | 0.16 |   4.6 |   3.8 |  5 |   5 |    20.0 |  12.9 | 0 |  0
SCO 2  D | 351.47 | 19.31 | 0.18 |  -4.0 |   5.4 | 16 |  16 |    40.5 |  33.2 | 1 |  1
HOGG 16  | 307.51 |  1.10 | 2.22 |       |       |  1 |   7 |     7.7 |  31.0 | 1 |  0
