#SpT   Teff   Mv    logL  Msun   M_J    M_Ks
O3V    46000 -5.7   5.80  92.5  -4.66  -4.38
O4V    43000 -5.5   5.67  90    -4.49  -4.22
O5V    41500 -5.4   5.58  60    -4.41  -4.14
O5.5V  40000 -5.2   5.46  48.5  -4.24  -3.98
O6V    39000 -5.1   5.37  37    -4.15  -3.90
O6.5V  37300 -4.9   5.24  33.5  -3.98  -3.73
O7V    36500 -4.8   5.17  30    -3.90  -3.65
O7.5V  35000 -4.6   5.05  26.5  -3.73  -3.49
O8V    34500 -4.5   4.99  23    -3.64  -3.41
O8.5V  33000 -4.3   4.87  21.3  -3.47  -3.25
O9V    32500 -4.2   4.82  19.6  -3.44  -3.20
O9.5V  32000 -4.1   4.76  18    -3.35  -3.12
B0V    31500 -4.0   4.65  17.5  -3.27  -3.04
B0.5V  29000 -3.6   4.47  15    -2.90  -2.69
B1V    26000 -3.1   4.13  11    -2.43  -2.23
B1.5V  24500 -2.8   3.89  10    -2.23  -2.05
B2V    20600 -1.7   3.38  7.3   -1.24  -1.10
B2.5V  18500 -1.4   3.10  6.1   -0.99  -0.86
B3V    17000 -1.1   2.96  5.4   -0.73  -0.61
B4V    16700 -1.0   2.91  5.0   -0.66  -0.55
B5V    15700 -0.9   2.80  4.6   -0.59  -0.48
B6V    14500 -0.5   2.54  4.0   -0.23  -0.14
B7V    14000 -0.4   2.49  3.9   -0.16  -0.08
B8V    12500 -0.2   2.27  3.4   -0.01   0.05
B9V    10700  0.7   1.79  2.8    0.79   0.82
B9.5V  10400  0.8   1.73  2.5    0.83   0.85
A0V    9700   1.11  1.54  2.3    1.07   1.07
A1V    9200   1.34  1.41  2.15   1.25   1.24
A2V    8840   1.48  1.33  2.05   1.32   1.29
A3V    8550   1.55  1.29  2.00   1.35   1.32
A4V    8270   1.76  1.20  1.90   1.47   1.41
A5V    8080   1.84  1.16  1.85   1.51   1.44
A6V    8000   1.89  1.14  1.83   1.54   1.46
A7V    7800   2.07  1.06  1.76   1.64   1.54
A8V    7500   2.29  0.97  1.67   1.78   1.66
A9V    7440   2.30  0.97  1.67   1.78   1.66
F0V    7200   2.51  0.89  1.59   1.90   1.76
F1V    7030   2.79  0.77  1.50   2.13   1.96
F2V    6810   2.99  0.70  1.44   2.26   2.07
F3V    6720   3.08  0.67  1.43   2.32   2.12
F4V    6640   3.23  0.61  1.39   2.42   2.21
F5V    6510   3.40  0.54  1.33   2.55   2.32
F6V    6340   3.70  0.43  1.25   2.78   2.52
F7V    6240   3.87  0.36  1.21   2.90   2.63
F8V    6170   4.01  0.31  1.18   3.01   2.72
F9V    6040   4.15  0.26  1.14   3.11   2.81
G0V    5920   4.45  0.14  1.08   3.34   3.01
G1V    5880   4.50  0.13  1.07   3.38   3.04
G2V    5770   4.79  0.01  1.02   3.57   3.20
G3V    5720   4.86 -0.01  1.00   3.64   3.27
G4V    5680   4.94 -0.04  0.99   3.70   3.32
G5V    5660   4.98 -0.05  0.98   3.74   3.35
G6V    5590   5.13 -0.11  0.97   3.84   3.44
G7V    5530   5.18 -0.12  0.96   3.88   3.47
G8V    5490   5.32 -0.17  0.94   3.97   3.55
G9V    5340   5.55 -0.25  0.90   4.14   3.69
K0V    5280   5.76 -0.33  0.87   4.29   3.81
K1V    5170   5.91 -0.37  0.85   4.47   3.97
K2V    5040   6.19 -0.47  0.82   4.57   4.04
K3V    4840   6.57 -0.58  0.78   4.76   4.16
K4V    4620   7.04 -0.71  0.73   4.98   4.31
K5V    4450   7.25 -0.75  0.72   5.11   4.42
K6V    4200   7.88 -0.92  0.70   5.45   4.69
K7V    4050   8.30 -1.04  0.64   5.68   4.88
K8V    3970   8.58 -1.08  0.63   5.86   5.04
K9V    3880   9.00 -1.22  0.61   6.05   5.26
M0V    3850   9.16 -1.26  0.60   6.14   5.37
M1V    3700   9.80 -1.42  0.53   6.57   5.74
M1.5V  3650   9.97 -1.47  0.50   6.69   5.85
M2V    3550  10.30 -1.57  0.48   6.89   6.06
M2.5V  3500  10.70 -1.68  0.44   7.01   6.27
M3V    3410  11.14 -1.78  0.39   7.40   6.54
M3.5V  3250  12.19 -2.07  0.28   8.02   7.19
M4V    3200  12.80 -2.20  0.22   8.39   7.55
M4.5V  3100  13.57 -2.31  0.18   8.79   7.93
M5V    3030  14.30 -2.52  0.15   9.25   8.36
M5.5V  3000  15.51 -2.79  0.12   9.93   9.01
M6V    2850  16.62 -3.02  0.11  10.28   9.32
M6.5V  2710  17.07 -3.09  0.10  10.47   9.47
M7V    2650  17.81 -3.21  0.09  10.76   9.76
M7.5V  2600  18.42 -3.29  0.08  10.68   9.97
M8V    2500  18.88 -3.34  0.077 11.27  10.15
M9V    2450  19.26 -3.53  0.065 11.64  10.41
L0V    2250  19.8  -3.57  0.05  11.75  10.58
L1V    2100  20.3  -3.70  0.04  12.07  11.03
L2V    1960  20.8  -3.84  0.03  12.44  11.17
L3V    1830  21.3  -3.98  0.02  12.84  11.22
L4V    1700  22.2  -4.11  0.015 13.28  11.47
L5V    1590  23.1  -4.24  0.01  13.72  11.82
NA     1500  23.2  -4.3   0.009 13.75  11.85
NA     0     99.9  -99.9  -99.9   99.9   99.9
