|              Name | RAh | RAm |  RAs | DE- | DEd | DEm | DEs | TT |  SFRa |  KLum |    DM |   Dist |  n_clust |                                  reference |  
|          MilkyWay |  17 |  45 | 40.0 |   - |  29 |  00 |  28 |  4 |   0.6 |     0 | 14.52 |  0.008 |          |                                            |
|          UGC12894 |   0 |   0 | 22.5 |   + |  39 |  29 |  44 | 10 | -2.48 |  7.58 | 29.64 |  8.472 |          |                                            |
|               WLM |   0 |   1 | 58.1 |   - |  15 |  27 |  40 |  9 | -2.69 |  7.69 | 24.93 |  0.968 |          |                                            |
|         And XVIII |   0 |   2 | 14.5 |   + |  45 |   5 |  20 | -3 |   0.0 |   6.6 | 25.66 |  1.355 |          |                                            |
|        ESO409-015 |   0 |   5 | 31.8 |   - |  28 |   5 |  53 |  9 | -1.57 |  7.99 | 29.43 |  7.691 |          |                                            |
|         AGC748778 |   0 |   6 | 34.4 |   + |  15 |  30 |  39 | 10 |   0.0 |  6.27 | 28.66 |  5.395 |          |                                            |
|            And XX |   0 |   7 | 30.7 |   + |  35 |   7 |  56 | -3 |   0.0 |  5.26 | 24.52 |  0.802 |          |                                            |
|          UGC00064 |   0 |   7 | 44.0 |   + |  40 |  52 |  32 | 10 |   0.0 |  8.15 | 29.91 |  9.594 |          |                                            |
|        ESO349-031 |   0 |   8 | 13.3 |   - |  34 |  34 |  42 | 10 | -4.03 |  7.12 | 27.53 |  3.206 |          |                                            |
|           NGC0024 |   0 |   9 | 56.4 |   - |  24 |  57 |  48 |  5 | -0.74 |  9.75 | 29.98 |  9.908 |          |                                            |
|           NGC0045 |   0 |  14 |  3.9 |   - |  23 |  10 |  56 |  8 | -0.26 |  9.61 | 29.82 |  9.204 |          |                                            |
|           NGC0055 |   0 |  15 |  8.5 |   - |  39 |  13 |  13 |  8 | -0.35 |  9.49 | 26.64 |  2.128 |          |                                            |
|           NGC0059 |   0 |  15 | 25.1 |   - |  21 |  26 |  38 | -3 | -1.91 |  8.72 | 28.62 |  5.297 |          |                                            |
|        ESO410-005 |   0 |  15 | 31.4 |   - |  32 |  10 |  48 | 10 | -6.26 |  6.88 | 26.42 |  1.923 |          |                                            |
|           And XIX |   0 |  19 | 32.1 |   + |  35 |   2 |  37 | -3 |   0.0 |  6.28 | 24.85 |  0.933 |          |                                            |
|            IC0010 |   0 |  20 | 24.5 |   + |  59 |  17 |  30 | 10 | -1.54 |  8.47 |  24.1 |  0.661 |          |                                            |
|          And XXVI |   0 |  23 | 45.6 |   + |  47 |  54 |  58 | -3 |   0.0 |  5.54 | 24.41 |  0.762 |          |                                            |
|              Sc22 |   0 |  23 | 51.7 |   - |  24 |  42 |  18 | -3 | -5.58 |  7.14 | 28.12 |  4.207 |          |                                            |
|             Cetus |   0 |  26 | 11.0 |   - |  11 |   2 |  40 | -1 | -5.51 |  7.02 | 24.46 |   0.78 |          |                                            |
|        ESO294-010 |   0 |  26 | 33.3 |   - |  41 |  51 |  20 | 10 | -4.32 |  6.25 | 26.42 |  1.923 |          |                                            |
|          UGC00288 |   0 |  29 |  4.0 |   + |  43 |  25 |  54 | 10 | -2.62 |  7.78 | 29.14 |   6.73 |          |                                            |
|           And XXV |   0 |  30 |  8.9 |   + |  46 |  51 |   7 | -3 |   0.0 |  6.58 | 24.55 |  0.813 |          |                                            |
|        ESO473-024 |   0 |  31 | 22.5 |   - |  22 |  45 |  57 | 10 |  -2.1 |  7.72 | 29.98 |  9.908 |          |                                            |
|           NGC0147 |   0 |  33 | 11.6 |   + |  48 |  30 |  28 | -3 | -6.33 |  8.21 | 24.39 |  0.755 |          |                                            |
|           And III |   0 |  35 | 33.8 |   + |  36 |  29 |  52 | -3 | -6.21 |  6.66 | 24.37 |  0.748 |          |                                            |
|          And XVII |   0 |  37 |  7.0 |   + |  44 |  19 |  20 | -2 |   0.0 |  5.74 | 24.36 |  0.745 |          |                                            |
|         And XXVII |   0 |  37 | 27.1 |   + |  45 |  23 |  13 | -3 |   0.0 |  5.88 | 24.59 |  0.828 |          |                                            |
|           NGC0185 |   0 |  38 | 58.0 |   + |  48 |  20 |  10 | -3 |  -4.8 |  8.29 | 23.94 |  0.614 |          |                                            |
|           NGC0205 |   0 |  40 | 22.5 |   + |  41 |  41 |  11 | -2 | -7.73 |  8.92 | 24.58 |  0.824 |          |                                            |
|            And IV |   0 |  42 | 30.1 |   + |  40 |  34 |  33 | 10 | -3.23 |  7.11 |  29.0 |   6.31 |          |                                            |
|        MESSIER032 |   0 |  42 | 42.1 |   + |  40 |  51 |  59 | -2 | -6.34 |  8.65 | 23.43 |  0.485 |          |                                            |
|        MESSIER031 |   0 |  42 | 44.5 |   + |  41 |  16 |   9 |  3 | -0.27 | 10.73 | 24.44 |  0.773 |          |                                            |
|            DDO226 |   0 |  43 |  3.8 |   - |  22 |  15 |   1 | 10 |  -2.9 |  7.71 | 28.46 |   4.92 |          |                                            |
|             And I |   0 |  45 | 40.0 |   + |  38 |   2 |  14 | -3 | -6.54 |  7.21 | 24.32 |  0.731 |          |                                            |
