# Results from heasarc_mwsc : Milky Way Star Clusters Catalog
# Coordinate system :  Equatorial
# source :  https://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?tablehead=name%3Dmwsc&Action=More+Options
# notes : queried for Dec < +35 deg
|name             |ra      |dec     |core_radius|central_radius|cluster_radius|rad_vel |rad_vel_error|distance|log_age|log_age_error|cluster_type|class                                              |
|Melotte 111      |12 23 56|+26 18.0|      0.200|         2.510|         4.225|   -0.95|         0.48|      87|  8.840|        0.037|            |                                  OPEN STAR CLUSTER|
|Mamajek 3        |05 26 01|+06 19.8|      0.100|         1.075|         2.200|   13.10|             |      95|  7.500|             |            |                                       UNIDENTIFIED|
|Alessi 13        |03 28 05|-35 52.2|      0.150|         2.080|         3.180|   19.53|         3.00|     112|  8.720|             |            |                                       UNIDENTIFIED|
|Mamajek 1        |08 41 53|-79 02.7|      0.030|         0.190|         0.420|   15.05|         1.05|     112|  6.990|             |            |                                       UNIDENTIFIED|
|Feigelson 1      |12 01 12|-78 20.1|      0.070|         0.600|         0.950|   13.67|         0.87|     117|  6.600|             |var         |                                       UNIDENTIFIED|
|Melotte 22       |03 46 01|+24 22.2|      0.350|         2.500|         6.200|    5.51|         0.33|     130|  8.150|             |            |                                  OPEN STAR CLUSTER|
|Platais 8        |09 07 30|-59 09.6|      0.050|         0.620|         1.500|   17.32|         3.09|     141|  7.750|             |            |                                  OPEN STAR CLUSTER|
|IC 2602          |10 41 46|-64 24.0|      0.090|         0.800|         1.480|   21.87|         2.54|     151|  8.345|             |            |                                  OPEN STAR CLUSTER|
|IC 2391          |08 40 16|-53 01.7|      0.060|         0.485|         0.775|   14.65|         1.39|     165|  8.050|             |            |                                  OPEN STAR CLUSTER|
|Mamajek 2        |17 37 53|-08 05.1|      0.060|         0.190|         0.310|  -18.50|         2.00|     174|  8.100|             |            |                                       UNIDENTIFIED|
|NGC 2632         |08 40 23|+19 41.4|      0.200|         1.810|         3.100|   33.42|         0.52|     187|  8.920|             |            |                                  OPEN STAR CLUSTER|
|NGC 2451A        |07 41 20|-38 31.2|      0.070|         0.625|         1.300|   22.63|         4.49|     188|  7.760|             |            |                                  OPEN STAR CLUSTER|
|Platais 2        |01 12 54|+32 03.0|      0.250|         1.320|         1.320|    6.53|         3.53|     190|  8.313|             |            |                                       UNIDENTIFIED|
|Platais 9        |09 11 49|-43 31.8|      0.140|         1.020|         2.100|   17.83|         1.48|     200|  8.090|             |            |                                       UNIDENTIFIED|
|Alessi 9         |17 45 11|-47 11.1|      0.050|         0.615|         0.890|  -11.60|         1.20|     218|  8.550|             |            |                                  OPEN STAR CLUSTER|
|Platais 10       |13 41 10|-59 13.5|      0.050|         0.525|         1.000|   -8.00|         7.40|     246|  8.340|             |            |                                  OPEN STAR CLUSTER|
|Blanco 1         |00 03 32|-30 00.0|      0.500|         1.400|         2.350|    5.48|         2.04|     250|  7.750|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 147     |19 16 22|-16 15.0|      0.180|         0.500|         1.330|   41.00|             |     270|  9.330|             |            |                                  OPEN STAR CLUSTER|
|Platais 5        |06 14 42|-22 30.0|      0.100|         1.420|         2.070|   30.90|             |     272|  7.780|             |            |                                       UNIDENTIFIED|
|Platais 4        |05 06 52|+22 34.4|      0.100|         0.250|         0.660|   13.80|         5.08|     275|  8.550|             |            |                                  OPEN STAR CLUSTER|
|Collinder 350    |17 48 13|+01 21.6|      0.060|         0.280|         0.550|  -14.38|         0.20|     302|  8.710|        0.015|            |                                  OPEN STAR CLUSTER|
|NGC 6475         |17 53 46|-34 46.8|      0.060|         0.370|         0.700|  -12.61|         1.04|     303|  8.250|             |            |                                  OPEN STAR CLUSTER|
|Alessi 3         |07 16 12|-46 37.0|      0.020|         0.170|         0.440|   20.00|         7.40|     311|  8.870|             |            |                                  OPEN STAR CLUSTER|
|ASCC 18          |05 26 15|+00 54.0|      0.050|         0.220|         0.440|   24.40|        10.50|     313|  7.150|             |            |                                  OPEN STAR CLUSTER|
|ASCC 19          |05 27 41|-01 57.9|      0.040|         0.250|         0.520|   19.80|         3.17|     314|  7.500|             |            |                                  OPEN STAR CLUSTER|
|Morgan 8         |05 36 27|-06 25.2|      0.020|         0.115|         0.230|        |             |     314|  7.200|             |irc         |                                  OPEN STAR CLUSTER|
|NGC 1333         |03 28 55|+31 22.2|      0.050|         0.325|         0.570|        |             |     324|  6.800|             |emb         |                                             NEBULA|
|Collinder 65     |05 26 06|+15 40.2|      0.100|         1.000|         1.500|   21.84|         1.17|     325|  8.065|             |            |                                  OPEN STAR CLUSTER|
|NGC 2232         |06 27 58|-04 47.7|      0.040|         0.165|         0.380|   19.85|         4.54|     330|  7.700|             |            |                                  OPEN STAR CLUSTER|
|Collinder 132    |07 13 26|-30 58.5|      0.025|         0.105|         0.310|   28.00|         3.70|     330|  7.510|             |            |                                  OPEN STAR CLUSTER|
|Platais 6        |06 15 04|+03 51.0|      0.045|         0.700|         1.300|   25.50|         7.52|     347|  7.960|        0.006|            |                                       UNIDENTIFIED|
|ASCC 100         |19 01 37|+33 34.5|      0.020|         0.225|         0.365|  -25.57|         2.67|     350|  7.950|             |            |                                  OPEN STAR CLUSTER|
